STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TAVG,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,WT01,WT06,WT02,WT04,WT08
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131016,0.00,0.0,0.0,-9999,67,56,3.1,80,180,8.1,12.1,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131017,0.02,0.0,0.0,-9999,73,61,2.7,190,250,8.9,18.1,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131018,0.00,0.0,0.0,-9999,68,55,6.7,290,280,15.0,25.9,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131019,0.01,0.0,0.0,-9999,64,52,3.4,260,260,10.1,19.9,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131020,0.00,0.0,0.0,-9999,63,50,5.6,280,290,14.1,23.0,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131021,0.00,0.0,0.0,-9999,66,50,3.8,210,230,10.1,19.0,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131022,0.00,0.0,0.0,-9999,67,51,4.5,250,250,12.1,19.0,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131023,0.00,0.0,0.0,-9999,55,45,4.5,60,310,14.1,21.0,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131024,0.00,0.0,0.0,-9999,54,41,6.7,290,290,15.0,23.0,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131025,0.00,0.0,0.0,-9999,53,40,5.1,310,260,15.0,23.0,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131026,0.00,0.0,0.0,-9999,55,41,6.3,250,250,17.0,25.9,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131027,0.00,0.0,0.0,-9999,58,46,5.1,300,280,13.0,21.9,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131028,0.00,0.0,0.0,-9999,61,43,4.5,270,280,13.0,21.0,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131029,0.00,0.0,0.0,-9999,56,44,4.9,60,50,10.1,14.1,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131030,0.00,0.0,0.0,-9999,60,47,2.0,260,260,8.9,13.0,-9999,-9999,-9999,-9999,1
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131031,0.06,0.0,0.0,-9999,66,53,3.6,250,240,13.0,23.0,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131101,0.13,0.0,0.0,-9999,70,59,4.9,280,260,23.0,44.1,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131102,0.00,0.0,0.0,-9999,68,55,3.8,290,290,10.1,18.1,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131103,0.00,0.0,0.0,-9999,55,37,6.3,340,350,15.0,21.0,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131104,0.00,0.0,0.0,-9999,46,35,6.5,50,40,15.0,23.9,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131105,0.00,0.0,0.0,-9999,55,41,4.0,100,100,10.1,14.1,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131106,0.00,0.0,0.0,-9999,61,49,3.6,210,190,8.9,19.0,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131107,0.13,0.0,0.0,-9999,64,44,6.7,310,310,15.0,23.9,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131108,0.00,0.0,0.0,-9999,50,40,8.7,290,270,16.1,28.0,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131109,0.00,0.0,0.0,-9999,50,38,4.9,250,250,13.0,23.0,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131110,0.00,0.0,0.0,-9999,61,44,7.6,280,250,18.1,33.1,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131111,0.00,0.0,0.0,-9999,53,43,6.5,290,240,16.1,25.9,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131112,0.03,0.0,0.0,-9999,52,31,6.3,340,340,16.1,29.1,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131113,0.00,0.0,0.0,-9999,39,29,6.0,290,300,14.1,21.9,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131114,0.00,0.0,0.0,-9999,52,33,8.1,250,250,17.0,31.1,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131115,0.00,0.0,0.0,-9999,57,44,4.7,250,250,13.0,23.0,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131116,0.05,0.0,0.0,-9999,60,45,2.7,250,250,12.1,17.0,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131117,0.03,0.0,0.0,-9999,60,51,3.6,170,180,10.1,16.1,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131118,0.22,0.0,0.0,-9999,65,51,7.4,280,280,19.9,31.1,1,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131119,0.00,0.0,0.0,-9999,51,36,9.2,310,320,19.9,31.1,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131120,0.00,0.0,0.0,-9999,44,32,6.9,20,10,15.0,23.0,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131121,0.00,0.0,0.0,-9999,52,35,4.9,60,240,10.1,14.1,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131122,0.07,0.0,0.0,-9999,57,51,6.3,260,280,12.1,18.1,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131123,0.00,0.0,0.0,-9999,54,31,9.6,290,310,21.0,34.0,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131124,0.00,0.0,0.0,-9999,30,23,12.1,310,300,25.1,42.9,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131125,0.00,0.0,0.0,-9999,35,23,5.8,250,250,15.0,23.0,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131126,0.51,0.0,0.0,-9999,47,33,4.3,60,250,12.1,21.0,1,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131127,1.98,0.0,0.0,-9999,62,35,9.6,280,180,19.9,36.9,1,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131128,0.00,0.0,0.0,-9999,35,30,7.2,280,290,21.9,38.9,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131129,0.00,0.0,0.0,-9999,39,29,3.8,360,20,13.0,19.0,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131130,0.00,0.0,0.0,-9999,39,25,5.1,60,50,12.1,16.1,-9999,-9999,-9999,-9999,-9999
